nose-x,nose-y,left_eye-x,left_eye-y,right_eye-x,right_eye-y,left_ear-x,left_ear-y,right_ear-x,right_ear-y,left_shoulder-x,left_shoulder-y,right_shoulder-x,right_shoulder-y,head_angle,shoulder_angle,class
0.5964581,0.53259134,0.6528258,0.5224795,0.5739437,0.46945655,0.6836463,0.5797869,0.47715685,0.4636027,0.7369367,0.7660417,0.25340152,0.73862743,-0.37777777777777777,-0.03333333333333333,left
0.59500176,0.5274897,0.6506909,0.5219273,0.5743449,0.46603182,0.68020666,0.58321446,0.47692305,0.46145058,0.7371038,0.76610774,0.25035256,0.73884916,-0.4,-0.03333333333333333,left
0.38539615,0.5168372,0.4020234,0.4616556,0.3340912,0.52335244,0.49367648,0.45726913,0.3105663,0.5902647,0.7334528,0.73811305,0.254923,0.74987155,0.4666666666666667,0.011111111111111112,right
0.38417196,0.51853526,0.40082806,0.4625644,0.33228692,0.5248735,0.49357462,0.4552279,0.3090517,0.5911207,0.7344666,0.7367009,0.25048614,0.7528838,0.4666666666666667,0.022222222222222223,right
0.38729408,0.5174281,0.4022809,0.4619306,0.3351501,0.52407384,0.49235833,0.45182502,0.3112148,0.5910215,0.7353104,0.73856515,0.25141487,0.75189394,0.4777777777777778,0.022222222222222223,right
0.3840311,0.5196917,0.40072364,0.4628665,0.33302003,0.5254709,0.49315464,0.45596617,0.31046978,0.5894972,0.7378357,0.7398992,0.25776324,0.75283283,0.4777777777777778,0.011111111111111112,right
0.38463578,0.5177047,0.40082163,0.46133578,0.33376676,0.5236938,0.49319553,0.45516282,0.31090868,0.58968294,0.7363967,0.73898834,0.24995779,0.75293154,0.4777777777777778,0.022222222222222223,right
0.38555562,0.5169235,0.40234327,0.4613452,0.33394656,0.5225392,0.4931121,0.45616898,0.31033877,0.5905576,0.73550296,0.736718,0.25424823,0.75086606,0.4666666666666667,0.022222222222222223,right
0.52981734,0.48581704,0.5790762,0.44760102,0.487372,0.44184637,0.6358395,0.4952989,0.42288345,0.4802931,0.76370394,0.7640335,0.27475762,0.743062,-0.044444444444444446,-0.022222222222222223,center
0.40356195,0.5020538,0.42474613,0.44594288,0.35525057,0.5078504,0.5117779,0.45274076,0.32975438,0.5828817,0.74676234,0.74365526,0.26316428,0.7515244,0.4666666666666667,0.011111111111111112,right
0.5283959,0.48474455,0.57757187,0.4488677,0.48523718,0.44091487,0.6340616,0.4980619,0.42185807,0.47810632,0.7603536,0.7660617,0.2720572,0.7471251,-0.05555555555555555,-0.022222222222222223,center
0.63445836,0.5078661,0.6861054,0.5109146,0.61430484,0.45502132,0.7048527,0.58275944,0.51715416,0.45064655,0.75587606,0.7765227,0.27327946,0.7308141,-0.4111111111111111,-0.05555555555555555,left
0.63455975,0.5142362,0.68567336,0.5137206,0.6147725,0.45688492,0.70532626,0.5840373,0.5187313,0.45170566,0.7563905,0.7793506,0.27576,0.73073965,-0.43333333333333335,-0.06666666666666667,left
0.50561297,0.48534316,0.55032325,0.4462526,0.4604987,0.4453655,0.6088308,0.48632997,0.3981493,0.48848948,0.7502414,0.7590224,0.25706416,0.75702393,0.0,0.0,center
0.3938196,0.5034953,0.41124633,0.44756612,0.34504402,0.50940746,0.501331,0.45126417,0.3192831,0.5875071,0.73734206,0.73538494,0.2614174,0.75688004,0.4777777777777778,0.03333333333333333,right
0.5138269,0.49983367,0.56065625,0.45748428,0.46860927,0.45428696,0.61748254,0.49255228,0.4065653,0.4866919,0.7508454,0.75872636,0.26542643,0.7540634,-0.022222222222222223,-0.011111111111111112,center
0.62817866,0.51533324,0.6805948,0.5174734,0.6071554,0.4609792,0.70484346,0.5959227,0.51608646,0.45579898,0.7575694,0.7786899,0.2788266,0.72600144,-0.4111111111111111,-0.06666666666666667,left
0.6274396,0.51778835,0.68016535,0.52123535,0.60759926,0.4630907,0.70485866,0.5937057,0.5171386,0.4578365,0.7563672,0.7800521,0.27951545,0.7305668,-0.4222222222222222,-0.06666666666666667,left
0.51511186,0.48917934,0.56448674,0.45126554,0.47490022,0.44596514,0.6209547,0.49703434,0.41102386,0.48162347,0.7512528,0.7579078,0.2628384,0.75499994,-0.03333333333333333,0.0,center
0.397844,0.502235,0.4186983,0.44749784,0.3494793,0.50698894,0.5099749,0.4528652,0.3276736,0.58437806,0.7418177,0.7470722,0.26039374,0.7526479,0.45555555555555555,0.011111111111111112,right
0.52989906,0.48539144,0.5773978,0.44688928,0.48586747,0.4442397,0.6340574,0.49230006,0.42212474,0.486341,0.76159537,0.7632172,0.27873665,0.7471841,-0.022222222222222223,-0.022222222222222223,center
